age,income_lpa,family_size,marital_status,home_lat,home_lon,visits_last_30d,days_since_last_visit,dwell_time_mins,downloads,companion_flag,broker_flag,open_house_flag,finance_brochure_flag
36,13.9,3,married,18.98657,72.81328,0,8,16.2,1,0,0,0,0
21,12.7,3,single,19.1464,72.8067,4,11,44.4,0,1,0,1,0
24,21.1,1,married,18.91572,72.98961,1,10,4.3,0,0,0,1,0
36,25.2,3,married,19.00672,72.92253,2,9,9.1,0,1,0,0,0
40,28.4,2,single,19.12964,72.72551,2,22,27.7,2,0,1,0,0
36,17.7,3,single,19.00657,72.82607,1,11,1.8,0,0,0,0,0
34,25.4,4,married,19.0464,72.91864,2,6,12.6,3,0,0,0,0
32,19.8,4,single,19.14442,72.96378,6,4,14.1,0,0,0,0,0
23,19.1,3,married,19.11215,72.81208,0,1,0.9,2,0,1,0,0
29,24.4,3,married,19.09668,72.58857,4,13,19.8,2,0,0,0,1
31,23.3,1,married,19.03609,72.93232,2,4,16.8,1,0,0,0,0
43,12.1,3,married,19.10701,72.75797,1,2,0.3,0,0,0,0,0
37,27.4,2,single,19.05763,72.67827,2,16,1.0,1,0,0,0,0
21,26.9,2,married,19.11578,72.59677,4,17,0.5,2,0,0,0,0
37,16.9,2,single,19.02031,72.9614,1,21,4.1,2,1,1,0,0
31,22.0,1,married,19.05174,72.89286,2,11,7.1,1,1,0,0,0
29,22.5,3,single,18.971,72.85743,2,34,7.6,1,0,1,0,0
39,21.3,1,married,19.0665,73.0189,5,41,3.1,1,0,0,0,0
43,17.2,3,single,18.9889,72.94373,1,25,24.3,1,1,1,0,0
42,16.6,2,single,18.9586,73.04163,0,15,4.6,2,0,0,0,0
28,19.9,1,single,19.09587,72.74073,2,5,0.5,1,0,0,0,0
32,25.9,3,single,19.09127,72.87654,1,60,3.6,0,0,1,0,1
37,22.7,1,married,19.14829,72.71833,0,5,7.6,0,0,0,0,0
42,18.1,2,single,19.02689,72.85706,1,3,5.2,0,0,0,0,0
31,23.9,3,married,19.11081,72.85514,1,9,3.2,0,0,0,0,0
33,5.8,1,married,19.12508,72.94266,2,1,1.4,2,0,0,0,0
26,25.7,4,married,19.11448,72.88456,2,58,17.1,3,0,0,0,0
25,11.3,1,single,18.98743,72.94234,2,13,55.6,0,0,0,0,0
41,18.2,2,single,19.08494,72.95034,0,12,4.0,1,0,0,0,0
45,14.4,3,married,19.10641,73.09549,3,16,4.8,0,0,0,1,0
34,13.5,2,single,19.07072,72.84847,1,10,9.6,0,0,0,0,1
43,25.8,1,single,18.86135,72.7859,1,0,12.7,0,1,0,0,0
37,17.7,2,married,19.08605,72.90461,3,14,5.0,0,0,0,0,0
29,21.7,2,married,19.29125,72.79977,1,19,23.5,1,0,1,0,0
37,19.8,4,married,19.034,73.0282,0,8,8.2,0,0,0,0,0
47,22.4,2,single,18.99719,72.85168,1,21,6.0,2,0,0,0,0
34,20.4,3,married,19.10733,72.82344,2,4,10.4,0,0,1,0,0
47,13.6,4,single,19.10124,72.83287,2,4,30.5,0,0,0,0,0
21,25.0,2,single,19.18927,72.95184,1,3,15.8,1,1,0,0,0
41,17.5,4,married,18.94421,72.86423,1,7,0.4,1,0,0,0,0
35,12.2,2,single,19.14314,72.81583,4,28,4.0,1,1,0,1,1
32,17.9,5,single,19.12904,73.04654,3,26,6.4,0,0,0,0,0
35,27.5,1,single,19.05579,72.79438,0,7,3.8,3,1,0,0,0
21,24.3,3,married,19.10387,72.88356,1,13,12.0,0,1,0,0,0
33,18.3,2,married,19.17295,72.94523,3,19,17.5,0,1,0,0,0
37,18.3,2,married,19.15723,72.71687,3,4,13.1,1,0,0,0,1
46,18.4,3,married,18.9557,72.92803,1,3,45.4,3,0,0,0,0
30,30.4,3,single,19.15202,72.77449,2,54,3.2,1,1,0,0,0
28,21.9,1,married,19.06353,72.96228,3,14,20.8,0,1,0,0,0
30,22.2,1,single,19.07729,72.78373,1,60,14.6,0,1,0,0,0
42,25.2,3,single,19.07732,72.94928,0,6,4.5,2,0,0,0,1
37,21.2,3,married,19.05498,72.99058,2,18,13.2,0,1,0,0,0
30,18.7,5,married,19.18917,72.96614,3,4,1.1,2,0,1,0,1
39,19.0,3,single,19.06163,72.90513,2,5,15.6,1,0,1,0,0
35,19.6,5,single,18.95805,72.85687,3,11,7.6,1,0,0,0,0
42,19.8,3,single,19.03065,72.82236,0,6,3.5,2,0,0,1,0
29,23.6,2,single,19.08787,73.0271,2,3,10.7,1,1,0,0,0
32,20.3,1,married,19.19292,72.81005,4,5,10.3,0,0,1,0,0
31,23.7,3,married,19.13031,72.77629,4,1,2.4,0,0,0,0,0
23,19.6,3,married,18.98495,72.94654,2,18,0.3,1,0,0,0,0
37,20.4,1,married,19.31852,72.80039,2,10,5.7,1,0,0,0,0
37,10.0,2,single,19.09648,72.78499,1,1,8.4,1,0,0,0,0
35,24.6,5,married,19.19754,72.73564,1,3,20.9,0,0,0,0,1
33,21.7,3,married,19.05483,72.83171,0,2,26.3,2,0,0,0,0
23,25.0,2,married,19.12334,72.87173,2,14,7.5,0,1,0,0,0
31,5.5,2,married,19.15395,72.90431,0,1,14.0,1,1,0,0,0
32,30.4,2,married,19.19182,72.97513,1,21,5.8,3,0,0,1,1
28,19.3,2,single,19.17574,72.93269,3,0,13.7,1,0,0,0,0
33,25.5,2,married,19.15722,72.86091,0,4,2.3,0,0,0,0,0
38,14.8,1,single,19.03849,72.86018,2,33,4.6,0,1,1,0,0
50,23.1,3,single,19.01283,72.93102,1,19,10.1,0,0,0,0,0
36,14.7,2,single,19.10326,73.00726,2,1,0.2,0,0,0,0,0
37,16.9,4,single,19.16331,72.89263,0,26,12.8,0,0,0,1,1
34,29.6,4,married,19.04773,72.83309,2,10,18.1,2,1,0,0,0
21,19.0,2,married,19.17652,72.78071,1,28,5.1,0,0,0,0,0
34,21.1,3,married,19.21526,72.73548,3,14,5.9,0,0,0,0,1
35,24.4,2,married,18.97837,72.94663,3,17,19.1,1,1,0,0,0
54,22.5,4,married,18.98631,72.9378,2,60,14.9,2,0,0,0,1
33,20.8,2,single,19.05596,72.93774,2,4,3.4,0,1,0,1,1
37,21.8,3,single,19.10076,72.86713,2,15,3.9,2,0,0,0,0
34,32.0,3,married,19.01754,73.02069,0,9,11.4,1,1,0,0,0
25,19.7,2,married,19.20522,72.83159,2,1,8.3,1,0,0,0,0
44,21.0,1,married,19.11241,72.97553,2,0,1.8,0,1,0,0,0
41,25.3,3,single,19.07394,72.87613,1,2,3.7,2,0,0,0,0
41,25.5,3,single,18.92641,72.81916,3,16,23.0,0,1,0,0,0
27,25.9,2,married,18.93842,72.93925,1,13,11.7,0,0,0,0,0
46,23.2,3,single,19.0981,72.92096,1,12,42.7,0,0,0,0,0
23,14.3,2,single,18.85674,72.9157,2,0,14.6,0,1,1,0,0
39,28.2,3,married,19.17126,72.88813,1,10,28.5,4,0,1,0,0
52,14.3,1,single,19.05418,72.87621,1,39,2.4,2,0,0,0,0
27,21.5,4,married,19.39431,73.11884,0,8,14.8,1,0,0,0,1
30,16.2,2,single,19.30079,72.99843,3,15,0.2,2,1,0,0,0
35,19.7,2,single,19.05186,72.95228,2,23,11.1,1,0,0,0,0
30,21.6,1,single,19.05937,72.89118,2,23,6.3,1,1,0,0,0
22,21.6,1,married,19.16956,72.98072,4,11,4.3,0,0,0,0,0
35,22.1,3,single,19.24032,72.9318,1,29,19.8,0,0,1,0,0
26,28.1,2,married,18.9062,72.88262,3,7,19.3,1,0,0,1,1
38,22.3,4,single,18.89136,72.84964,2,33,0.2,1,0,0,0,0
27,18.8,1,married,19.0078,72.87191,2,4,9.4,2,0,1,0,0
47,24.8,2,single,19.12827,72.56296,1,5,4.6,1,0,0,1,0
28,25.9,2,married,19.11969,72.90106,3,1,5.4,2,0,1,0,0
32,13.9,1,married,19.17698,72.83115,1,24,17.8,2,1,0,0,0
41,23.0,1,married,18.95003,73.03927,2,8,3.7,1,0,0,0,0
25,23.5,2,single,18.83839,72.88193,1,4,28.7,2,0,0,0,0
36,18.5,2,single,19.1558,72.7611,3,4,2.0,0,0,0,0,0
45,26.9,2,single,18.98718,72.87501,3,35,10.9,0,0,0,0,0
22,19.2,3,married,18.86815,72.77539,1,27,11.2,1,0,0,0,0
36,20.6,3,married,19.08451,72.92734,2,12,2.9,2,0,0,0,0
37,19.1,1,married,19.14932,72.90909,0,14,3.9,2,1,0,0,0
41,20.1,2,single,19.05779,72.97578,2,10,18.0,0,0,0,0,0
25,14.5,5,single,19.02422,72.80091,2,7,14.3,1,0,0,0,0
24,12.8,3,single,19.05406,72.8834,0,37,4.0,1,0,1,1,0
39,28.0,3,married,19.03294,72.7435,3,2,7.6,2,0,0,0,0
37,15.8,2,married,18.9352,72.95015,4,8,0.6,2,0,0,0,0
37,15.0,3,married,18.99853,72.93189,0,6,2.3,2,0,1,1,0
37,9.2,3,single,19.12213,72.92958,3,10,6.7,0,0,1,1,0
29,16.8,3,married,19.10217,72.88016,1,9,0.9,0,0,0,0,0
36,13.4,5,married,19.08681,72.92148,2,11,18.5,1,1,0,0,1
37,28.2,1,single,18.97049,73.04043,3,2,12.7,1,0,0,0,1
29,25.0,1,married,19.05185,72.85149,2,11,28.8,0,0,0,0,0
49,16.6,3,married,18.85229,72.89386,0,4,11.8,3,0,0,0,0
38,31.3,4,married,19.08785,72.77139,0,3,28.2,1,0,0,1,0
25,24.9,1,married,19.21289,72.79317,1,1,8.1,2,0,1,0,0
40,18.4,2,single,18.92259,72.88978,4,22,9.2,1,0,0,0,0
27,7.5,1,single,19.01141,72.99039,1,8,37.7,4,1,1,0,1
41,31.5,2,married,19.10291,72.85437,0,15,10.3,0,0,0,0,0
44,13.1,3,single,19.19528,72.85641,2,20,0.3,0,0,0,1,0
28,11.8,3,married,19.02518,72.83931,0,17,12.9,2,0,0,0,0
42,25.1,2,married,19.00077,72.82652,3,10,23.6,1,0,1,0,0
38,32.2,2,married,18.87311,72.9095,3,7,15.9,0,0,0,0,0
41,26.9,1,married,19.08034,72.73027,2,7,8.8,1,0,0,0,0
50,22.8,2,single,19.27421,73.00809,4,15,11.1,1,0,1,0,0
33,23.0,3,single,19.09774,72.81346,0,10,46.2,1,0,0,0,0
28,24.3,5,single,19.06777,72.95219,4,28,1.0,0,0,0,1,0
27,23.8,4,married,19.10221,72.753,1,31,11.0,2,1,1,0,0
28,21.4,1,single,19.06889,72.94688,2,3,3.3,0,0,1,0,1
34,20.5,4,single,18.9887,72.94719,1,2,10.2,1,0,0,0,0
37,19.7,3,married,19.15233,72.91842,1,15,9.4,2,1,0,0,0
37,16.2,3,married,19.09258,72.78056,4,5,1.7,1,1,0,0,0
41,18.6,2,single,19.07176,72.90495,0,0,2.3,0,1,0,0,0
35,11.5,2,single,18.97246,72.76169,0,33,9.7,1,0,0,0,0
46,19.5,2,married,19.20035,72.85472,3,4,1.4,1,1,0,0,0
32,15.1,1,single,19.13647,72.98294,1,40,3.1,1,0,0,0,0
56,14.5,2,single,19.01471,72.95967,2,19,18.0,0,0,0,0,0
40,20.9,2,single,19.17018,72.88152,1,22,4.0,1,0,0,0,0
28,27.0,2,married,19.02024,72.78252,2,3,6.7,1,1,0,0,0
26,24.6,3,single,18.9918,72.94456,3,4,28.3,0,0,0,0,1
38,12.1,2,married,18.99403,72.88194,3,11,2.6,2,0,0,0,1
33,15.1,1,married,18.89289,72.64797,1,3,4.9,2,0,0,0,1
40,24.7,5,married,19.11715,72.95826,1,5,9.3,0,0,0,0,0
38,15.1,4,single,18.88689,72.87758,1,6,14.1,1,1,0,1,1
34,18.9,3,married,18.94716,73.00025,2,3,23.2,1,0,0,0,0
28,22.8,5,married,18.86244,72.77047,2,3,24.7,0,0,0,0,0
22,15.2,3,married,19.06139,72.56233,4,23,15.0,1,1,0,0,0
31,20.5,5,married,19.05497,72.90791,4,3,2.6,1,0,0,0,0
41,13.3,1,married,19.03733,72.90916,4,0,0.3,4,0,0,0,0
36,17.0,2,married,18.96574,72.71093,2,15,4.8,0,1,0,1,0
25,21.6,2,married,18.95278,72.78215,2,56,1.5,1,1,1,1,0
36,12.0,1,married,19.11644,73.15552,0,6,12.4,1,1,0,0,0
38,22.2,1,single,19.01494,72.84944,2,2,10.8,2,0,0,0,0
27,19.9,3,single,19.10164,72.9531,1,13,0.4,0,0,0,0,0
36,22.8,3,single,18.98148,72.81493,2,36,18.1,1,0,0,0,0
35,21.1,3,married,19.08811,72.67097,2,23,2.9,0,0,0,0,0
25,26.8,1,married,19.20033,72.86297,1,15,5.7,0,0,0,0,1
37,20.6,4,married,19.12862,72.85344,5,6,11.0,4,0,0,1,0
39,17.9,3,married,19.02876,72.84001,1,12,5.6,1,1,0,0,0
43,20.6,2,married,19.09572,72.86854,3,1,5.8,0,0,0,0,0
43,22.7,3,married,19.04593,72.90643,2,17,0.7,0,0,0,0,0
23,20.2,2,single,19.07079,72.86499,3,19,5.1,2,0,0,0,0
27,20.2,2,married,19.03744,72.7536,4,50,14.5,2,0,0,0,0
39,16.5,4,single,19.05357,72.92862,1,5,24.7,1,1,0,1,1
39,16.7,2,single,19.09121,72.68506,0,0,5.3,2,0,0,0,0
39,13.0,2,single,18.97066,72.67496,4,12,5.5,0,0,0,0,0
65,28.7,4,single,18.96841,72.95392,3,18,12.1,2,0,1,0,0
39,13.8,3,married,18.93115,72.9307,1,23,28.6,2,0,0,0,0
44,16.5,1,married,18.90997,72.87426,2,3,3.1,2,0,0,1,0
42,16.4,1,single,18.94827,72.74046,4,5,5.8,0,1,0,0,0
40,24.5,1,married,19.08595,72.80921,3,11,15.9,0,0,0,1,0
32,18.5,3,married,18.98072,72.85373,1,6,9.4,3,0,0,0,0
41,26.2,2,single,19.12136,72.72041,0,30,1.2,0,0,1,0,0
28,16.6,1,married,19.07347,72.8061,4,10,9.9,0,1,1,0,0
33,21.4,5,single,18.87315,72.94523,1,24,2.1,2,1,0,0,0
31,15.8,3,married,19.1355,73.02273,1,13,7.1,0,0,0,0,0
35,30.7,2,married,19.15108,72.83806,3,22,7.5,2,0,0,0,0
53,14.1,3,single,18.97061,72.95565,3,6,20.9,1,1,0,0,0
21,21.5,3,single,19.11202,72.68859,2,27,6.2,0,1,0,0,0
40,23.2,1,married,18.98435,72.94595,0,5,3.3,0,1,0,1,0
22,22.1,2,married,19.07977,72.79961,3,12,2.6,1,1,0,1,0
31,19.1,4,single,18.94355,72.91073,1,4,20.7,0,0,0,0,0
43,19.4,2,married,18.89069,72.85522,1,10,1.9,0,0,0,1,0
35,20.2,3,married,19.03172,73.01204,2,6,5.5,3,1,0,0,0
26,19.3,2,married,19.05763,72.79256,1,5,2.1,0,1,0,0,0
29,24.8,1,married,19.03023,72.94276,1,51,14.8,0,0,0,0,0
40,31.1,1,married,18.9516,72.85205,2,3,6.4,0,0,1,1,0
29,17.2,2,married,19.03001,72.86417,1,23,4.3,1,1,0,0,0
36,13.2,2,married,19.09693,72.86161,3,60,4.5,2,0,1,0,0
35,19.6,1,single,19.06551,72.79543,1,0,19.1,0,1,0,0,0
29,32.9,4,single,19.08825,72.87859,1,18,8.1,1,0,0,0,0
52,16.0,5,single,19.00299,72.87374,4,4,12.7,0,0,0,0,0
40,28.2,3,married,19.18717,72.90412,1,1,22.7,1,0,1,0,0
21,28.4,4,married,18.95238,72.88845,3,8,23.2,0,0,0,0,1
36,17.2,2,single,19.11876,72.9598,1,41,4.0,2,0,0,1,0
29,22.8,5,married,19.18819,72.97235,0,0,30.5,0,0,0,0,0
41,28.1,1,married,19.11809,72.77494,3,13,0.3,1,1,1,0,0
28,18.1,5,single,19.04975,72.96688,1,10,4.7,1,1,1,0,0
34,19.0,5,married,19.01717,72.76137,0,31,22.6,0,0,1,0,1
39,17.1,3,single,19.17361,72.93879,3,1,3.2,2,0,1,0,0
41,14.9,5,single,18.9277,72.94197,1,17,3.2,0,0,0,0,1
25,16.8,3,married,18.97299,72.68887,1,17,3.6,0,0,0,1,0
32,13.9,2,married,19.03024,72.8893,4,17,9.5,0,0,0,0,0
31,20.2,2,single,19.19377,72.83315,2,43,5.8,2,0,0,1,0
29,16.2,3,married,19.10798,72.80412,3,26,13.0,3,0,1,0,0
49,21.2,1,married,18.9732,73.01509,2,1,22.5,0,0,1,0,0
38,12.2,3,single,19.03897,72.81463,1,10,11.2,1,0,0,0,0
24,21.7,5,single,19.00857,72.79936,0,8,2.3,3,1,0,0,0
42,24.2,1,married,18.99902,72.88757,2,6,27.0,1,0,1,0,0
51,10.0,3,single,19.16789,72.94856,0,9,3.1,1,1,0,0,0
43,21.9,4,married,18.93283,72.86584,3,7,1.6,2,1,0,0,0
22,26.1,4,married,19.23088,72.99664,1,8,0.9,2,1,0,0,0
31,14.0,5,married,19.15282,72.9331,0,58,8.3,1,1,0,0,0
45,28.4,3,single,19.17909,72.66218,1,1,1.2,2,0,0,1,0
29,22.1,5,married,19.02371,72.82705,1,38,1.5,0,0,0,0,0
38,16.5,3,married,19.05501,72.82382,4,10,3.6,1,0,0,0,1
41,19.7,1,single,18.92668,72.92794,3,15,3.3,0,1,1,0,0
27,22.8,2,single,19.01753,72.61752,3,27,9.3,1,1,0,0,0
34,20.4,3,single,19.11937,73.1349,1,7,17.0,0,1,0,0,0
21,22.7,2,married,19.19961,72.9331,2,8,14.3,1,0,1,0,0
26,15.4,3,married,18.95928,72.89489,3,8,3.0,0,1,0,0,0
32,20.8,3,single,19.03345,72.99816,3,7,2.8,0,0,0,0,0
25,12.9,1,married,19.05487,73.11437,4,39,33.8,2,0,1,0,0
48,19.4,3,single,18.93042,72.96707,0,26,0.1,0,1,0,0,0
23,15.5,3,married,19.12913,72.97488,0,2,21.2,0,0,0,0,0
31,16.3,2,single,18.9976,72.89307,3,2,2.2,0,1,0,0,1
36,26.2,1,married,19.05046,72.86585,2,8,29.4,2,0,0,0,0
46,25.5,1,married,19.02481,72.83242,1,2,4.2,0,1,0,0,0
23,23.0,2,married,18.99107,72.79739,1,14,5.8,0,0,0,0,0
44,14.5,4,single,19.0693,72.8113,1,2,12.3,2,1,0,0,0
35,18.4,2,single,19.04844,72.74494,3,11,8.9,2,1,0,0,0
27,26.1,3,married,19.03281,72.87241,1,0,3.8,0,1,1,1,0
38,20.7,2,single,18.99715,72.71153,0,6,8.1,2,0,0,0,0
36,31.6,2,single,19.10195,72.89909,1,17,13.1,3,1,0,0,1
30,22.0,4,single,19.23536,72.87637,5,10,0.4,1,0,1,0,0
35,21.0,3,married,19.08399,72.89469,1,57,0.1,2,0,0,0,0
31,18.5,1,married,19.16961,72.82779,0,31,6.1,2,0,0,0,0
35,20.7,2,married,18.93098,73.18769,3,7,1.4,1,1,1,0,0
40,19.2,1,single,19.08578,73.01601,2,1,10.9,2,0,0,1,0
47,23.5,2,single,18.96026,72.75555,1,28,2.4,0,1,0,0,0
25,24.8,3,married,18.92231,72.90329,1,36,5.7,1,1,0,0,1
52,16.1,1,married,18.99606,72.8192,4,26,2.2,0,0,0,0,0
21,13.3,2,single,19.18919,72.77855,1,2,8.0,1,1,0,1,0
33,10.8,2,married,19.165,72.74599,2,60,1.2,0,0,0,0,0
39,22.5,4,single,19.0943,72.92322,2,4,0.2,4,1,0,0,0
37,14.5,5,married,18.91673,72.81186,1,19,0.5,0,0,0,0,0
30,9.2,1,single,19.05037,72.97678,4,36,30.8,0,0,0,0,0
33,21.9,3,married,19.10017,72.97938,1,4,1.5,4,0,0,0,1
31,32.5,2,married,19.08755,73.01739,0,36,12.3,1,0,0,1,0
30,20.0,2,married,18.88562,72.79476,2,6,0.7,0,0,0,0,0
41,24.2,3,single,18.98097,72.92754,0,56,1.1,0,0,0,0,0
37,20.4,4,married,19.06359,72.94325,3,5,7.1,1,0,0,0,0
29,19.5,5,married,19.12363,72.83258,0,46,6.3,1,0,0,0,0
42,24.6,3,single,18.85039,72.80282,5,1,30.3,0,0,0,0,0
37,18.5,2,married,19.05379,73.04095,3,19,29.0,1,1,0,0,0
41,21.3,3,married,19.0843,72.90275,1,11,15.1,1,0,1,0,0
40,21.6,2,married,19.15496,72.9436,2,10,9.2,1,1,1,0,0
28,16.7,3,married,19.13929,72.79779,2,4,6.1,3,0,1,0,0
30,25.0,2,single,19.12826,72.75807,2,18,4.4,0,0,1,0,0
40,19.1,3,married,18.99001,72.82306,1,3,29.4,0,0,0,0,0
39,16.2,2,single,18.8792,72.8676,4,12,9.2,0,0,0,0,0
34,22.7,1,married,19.03069,72.77358,1,4,8.7,2,0,0,0,0
35,15.5,4,married,19.17016,72.87902,4,47,2.6,0,0,0,1,0
45,20.1,1,married,19.20935,72.71115,0,0,0.5,0,1,1,0,0
30,20.0,3,single,19.14105,72.768,2,3,29.0,4,1,0,0,0
39,25.4,2,single,19.11293,72.94709,2,4,3.8,0,0,1,0,0
33,22.4,1,married,19.10796,72.94038,1,8,5.8,0,1,0,0,0
33,19.9,1,married,19.01439,72.84081,4,4,1.2,0,0,1,0,0
43,24.1,1,married,19.05699,72.77822,2,10,18.1,3,0,0,0,0
41,27.0,4,married,19.23691,72.77726,4,31,0.3,0,0,0,0,1
41,22.8,2,married,18.97574,72.84267,2,19,18.0,0,1,0,0,0
45,20.1,5,single,19.23148,72.94445,3,13,1.5,2,1,0,0,0
35,13.4,3,single,19.0378,72.97282,3,1,21.8,2,1,1,0,1
40,14.7,2,single,19.20254,72.83035,1,18,13.1,1,0,0,1,0
32,18.5,3,single,18.92932,72.76465,0,3,1.8,3,0,0,0,0
37,17.0,3,married,19.12859,72.90678,1,23,8.3,1,1,0,0,0
33,19.1,3,married,18.99632,72.79765,2,4,3.7,0,0,1,0,0
35,20.3,2,married,18.92847,72.82817,2,8,2.0,2,0,0,0,0
39,22.6,2,single,19.09185,73.01253,4,6,19.6,0,0,0,0,0
28,19.6,4,single,19.17095,72.96271,1,29,5.2,0,0,0,0,0
51,22.4,4,single,18.98551,72.8958,3,2,5.1,1,0,0,0,0
26,20.3,4,single,18.9201,72.75281,4,13,1.9,0,0,0,0,0
25,10.1,2,married,19.06082,72.90114,4,2,4.8,1,0,0,0,0
44,15.3,3,single,19.06126,72.98627,1,18,20.5,2,0,1,0,0
41,19.3,2,married,19.12483,72.84244,2,35,4.5,2,0,1,0,0
39,14.0,2,single,19.16496,73.01511,3,9,30.3,1,0,0,0,0
40,23.0,2,married,19.06406,73.00927,0,10,29.2,2,0,1,0,0
34,27.7,3,married,19.25555,73.04637,1,39,1.6,0,0,0,1,0
27,26.1,1,single,19.09242,72.91052,2,11,2.0,0,0,0,0,0
35,18.9,2,married,19.03536,72.93874,3,10,19.9,0,0,0,0,0
29,27.5,4,married,18.90884,73.02142,2,13,5.0,1,1,0,0,0
42,20.7,2,married,19.04373,72.92474,1,18,0.0,0,1,1,0,0
33,18.3,1,single,19.03636,72.82988,1,2,3.2,1,0,0,0,0
28,16.9,1,married,19.16603,72.83515,0,26,9.1,2,0,0,0,0
32,18.5,4,married,19.11625,72.90386,2,9,16.1,2,1,0,0,1
38,18.1,3,married,18.95206,72.75094,2,1,1.4,0,0,0,0,0
30,20.9,2,married,19.08723,72.86567,1,23,1.2,2,0,0,0,0
28,20.8,4,married,19.13715,72.98965,2,7,25.5,0,0,0,1,0
36,20.0,4,married,19.2228,72.66087,3,2,13.9,1,0,0,1,0
36,22.2,2,married,19.15875,73.03345,2,15,8.9,2,0,1,0,0
30,26.0,3,married,19.14608,72.99224,2,32,14.7,2,1,0,1,0
31,24.7,3,married,19.07601,72.83402,3,33,5.6,0,1,0,0,0
36,12.6,3,married,19.10883,72.93434,2,47,14.2,2,0,0,0,0
23,7.2,1,married,19.19495,72.88031,2,30,4.6,1,0,0,0,0
23,24.7,4,married,18.93672,73.003,1,0,2.8,2,0,1,0,0
29,13.2,3,single,19.03506,72.97827,4,7,13.1,1,0,0,1,0
33,18.9,2,married,18.99274,72.73999,5,26,5.4,1,0,0,0,0
37,14.1,2,married,19.10792,72.93873,1,7,39.8,0,0,1,0,0
46,11.0,1,married,19.19302,72.85944,1,14,4.3,0,0,0,0,0
41,22.7,1,married,19.0103,72.88828,4,14,25.5,0,0,0,1,1
33,23.8,3,single,18.83097,72.80718,2,7,27.0,1,0,0,0,0
34,17.1,1,married,19.02878,73.05481,4,35,2.8,0,1,1,1,1
26,7.0,2,single,19.16135,72.98401,3,10,16.0,0,0,0,0,0
34,17.3,3,married,19.12376,72.80602,2,9,5.7,0,1,0,0,0
32,22.0,1,married,19.11282,72.74654,2,60,25.0,2,0,0,0,0
37,12.6,5,married,19.042,72.84143,0,10,6.0,1,0,0,0,0
28,20.9,2,single,18.9421,72.92345,2,3,13.6,5,0,0,0,0
39,19.9,2,married,19.12153,72.90402,0,11,6.3,1,0,0,0,0
47,22.9,2,single,18.98657,73.00531,4,25,2.6,0,0,0,0,0
34,20.6,2,single,19.28841,72.95899,3,22,2.2,0,1,0,0,0
38,15.1,1,single,19.12705,72.97696,3,23,5.5,1,1,0,0,0
